Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,1uF,C_0805_2012Metric,6.977452,-4.25,0,bottom
C2,1uF,C_0805_2012Metric,6.8,-10.35,180,bottom
C3,1uF,C_0805_2012Metric,-0.4,-23.05,90,bottom
C4,100nF,C_0603_1608Metric,2.3,-8.15,0,bottom
C5,100nF,C_0603_1608Metric,2.4,-20.45,-90,bottom
C6,100nF,C_0603_1608Metric,-7.9,-11.25,180,bottom
C7,100nF,C_0603_1608Metric,-7,-20.45,-90,bottom
D1,1N5819WS,D_SOD-323,-118.9,-1.85,90,bottom
D2,1N5819WS,D_SOD-323,-97.9,-1.85,90,bottom
D3,1N5819WS,D_SOD-323,-78.5,-1.85,90,bottom
D4,1N5819WS,D_SOD-323,-67,-6.75,90,bottom
D5,1N5819WS,D_SOD-323,-48,-20.32,90,bottom
D6,1N5819WS,D_SOD-323,31.325,-26.75,90,bottom
D7,1N5819WS,D_SOD-323,49.9,-16.25,90,bottom
D8,1N5819WS,D_SOD-323,65.325,-3.75,90,bottom
D9,1N5819WS,D_SOD-323,85.325,-2.3125,90,bottom
D10,1N5819WS,D_SOD-323,107.825,-4.3125,90,bottom
D11,1N5819WS,D_SOD-323,-127.175,-19.25,90,bottom
D12,1N5819WS,D_SOD-323,-106.675,-19.25,90,bottom
D13,1N5819WS,D_SOD-323,-84.9,-19.25,90,bottom
D14,1N5819WS,D_SOD-323,-71.1,-30.45,90,bottom
D15,1N5819WS,D_SOD-323,-53.2,-41.75,90,bottom
D16,1N5819WS,D_SOD-323,38.325,-44.75,90,bottom
D17,1N5819WS,D_SOD-323,55.825,-34.8125,90,bottom
D18,1N5819WS,D_SOD-323,72.325,-21.8125,90,bottom
D19,1N5819WS,D_SOD-323,91.325,-21.8125,90,bottom
D20,1N5819WS,D_SOD-323,113.325,-21.8125,90,bottom
D21,1N5819WS,D_SOD-323,-133.22125,-37.7125,90,bottom
D22,1N5819WS,D_SOD-323,-113.22125,-37.7125,90,bottom
D23,1N5819WS,D_SOD-323,-91.22125,-37.7125,90,bottom
D24,1N5819WS,D_SOD-323,-77.1,-48.85,90,bottom
D25,1N5819WS,D_SOD-323,-59.8,-58.85,90,bottom
D26,1N5819WS,D_SOD-323,41,-55.25,-90,bottom
D27,1N5819WS,D_SOD-323,62.325,-53.25,90,bottom
D28,1N5819WS,D_SOD-323,79.825,-39.3125,90,bottom
D29,1N5819WS,D_SOD-323,99.825,-39.3125,90,bottom
D30,1N5819WS,D_SOD-323,118.825,-39.3125,90,bottom
D31,1N5819WS,D_SOD-323,-83.675,-67.75,90,bottom
D32,1N5819WS,D_SOD-323,-64.175,-73.25,90,bottom
D33,1N5819WS,D_SOD-323,-42.675,-88.25,-90,bottom
D34,1N5819WS,D_SOD-323,37.325,-104.3125,-90,bottom
D35,1N5819WS,D_SOD-323,46.5,-88.15,90,bottom
D36,1N5819WS,D_SOD-323,68.325,-70.75,90,bottom
FB1,BLM18HE152SH1,R_0603_1608Metric,2.2625,-6.386744,0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4085,-3.672524,-2.076744,0,bottom
R1,10k,R_0805_2012Metric,5,-18.35,90,bottom
R2,5.1k,R_0805_2012Metric,-4.5,-4.986744,-90,bottom
R3,5.1k,R_0805_2012Metric,-7.7,-0.35,-90,bottom
SW1,B3FS-1002P,SW_SPST_Omron_B3FS-100xP,4.95,-27.35,90,bottom
SW2,B3FS-1002P,SW_SPST_Omron_B3FS-100xP,-4.95,-27.25,-90,bottom
U1,MCP1700x-330xxTT,SOT-23,6.477452,-7.486744,180,bottom
U2,USBLC6-2SC6,SOT-23-6,-1.322548,-6.586744,90,bottom
U3,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,-2.322548,-15.586744,90,bottom
